Code,Name,Country,Exchange,Currency,Type,Isin
0P000019EV,"Franklin Floating Rate Fund PLC",USA,OTC,USD,FUND,IE0032578035
0P00015KF1,"Lord Abbett Multi Sector Income",USA,OTC,USD,FUND,IE00BS7K1B65
0P00015KFC,"Lord Abbett Multi Sector Income",USA,OTC,USD,FUND,IE00BS7K0Z35
A,"Agilent Technologies Inc",USA,NYSE,USD,"Common Stock",US00846U1016
AA,"Alcoa Corporation",USA,NYSE,USD,"Common Stock",US0138721065
AAA,"Listed Funds Trust - AAF First Priority CLO Bond ETF",USA,"NYSE ARCA",USD,ETF,US53656F6566
AAAAX,"DEUTSCHE REAL ASSETS FUND CLASS A",USA,NMFQS,USD,FUND,
AAACX,AAACX,USA,NASDAQ,USD,FUND,
AAAEX,AAAEX,USA,NMFQS,USD,FUND,
AAAFX,AAAFX,USA,NMFQS,USD,FUND,
AAAGX,"THRIVENT LARGE CAP GROWTH FUND CLASS A",USA,NMFQS,USD,FUND,US8858821007
AAAHX,AAAHX,USA,NMFQS,USD,FUND,
AAAIX,"STRATEGIC ALLOCATION: AGGRESSIVE FUND I CLASS",USA,NMFQS,USD,FUND,US0250858539
AAAJX,AAAJX,USA,NMFQS,USD,FUND,
AAAKX,AAAKX,USA,NMFQS,USD,FUND,
AAALF,"Aareal Bank AG",USA,PINK,USD,"Common Stock",
AAALX,AAALX,USA,NMFQS,USD,FUND,
AAALY,"Aareal Bank AG",USA,PINK,USD,"Common Stock",US00254K1088
AAAMX,AAAMX,USA,NMFQS,USD,FUND,
AAANX,"HORIZON ACTIVE ASSET ALLOCATION FUND INVESTOR CLASS",USA,NMFQS,USD,FUND,US44053A3095
AAAOX,AAAOX,USA,NMFQS,USD,FUND,
AAAPX,"DEUTSCHE REAL ASSETS FUND CLASS C",USA,NMFQS,USD,FUND,
AAAQX,"DEUTSCHE REAL ASSETS FUND CLASS R",USA,NMFQS,USD,FUND,
AAARX,"STRATEGIC ALLOCATION: AGGRESSIVE FUND R CLASS",USA,NMFQS,USD,FUND,
AAASX,"DEUTSCHE REAL ASSETS FUND CLASS S",USA,NMFQS,USD,FUND,
AAATX,"AMERICAN FUNDS 2010 TARGET DATE RETIREMENT FUND CLASS A",USA,NMFQS,USD,FUND,US02630T1007
AAAU,"Goldman Sachs Physical Gold ETF",USA,BATS,USD,ETF,US7154261025
AAAUX,"STRATEGIC ALLOCATION: AGGRESSIVE FUND R6 CLASS",USA,NMFQS,USD,FUND,
AAAVX,"DEUTSCHE REAL ASSETS FUND CLASS R6",USA,NMFQS,USD,FUND,
AAAWX,"DEUTSCHE REAL ASSETS FUND CLASS T",USA,NMFQS,USD,FUND,
AAAZX,"DEUTSCHE REAL ASSETS FUND INSTITUTIONAL CLASS",USA,NMFQS,USD,FUND,
AABB,"Asia Broadband Inc",USA,PINK,USD,"Common Stock",US04518L1008
AABCX,"PUTNAM DYNAMIC ASSET ALLOCATION BALANCED FUND CLASS C SHARES",USA,NMFQS,USD,FUND,US7464448767
AABEX,AABEX,USA,NMFQS,USD,FUND,
AABFX,"THRIVENT BALANCED INCOME PLUS FUND CLASS A",USA,NMFQS,USD,FUND,US8858824076
AABGX,AABGX,USA,NMFQS,USD,FUND,
AABHX,AABHX,USA,NMFQS,USD,FUND,
AABJX,AABJX,USA,NMFQS,USD,FUND,
AABKX,AABKX,USA,NMFQS,USD,FUND,
AABOX,"BOND FUND CLASS A",USA,NMFQS,USD,FUND,
AABPX,"AMERICAN BEACON BALANCED FUND INVESTOR CLASS",USA,NMFQS,USD,FUND,US02368A8282
AABQX,"American Century One Choice Blend+ 2025 Portfolio A Class",USA,NMFQS,USD,FUND,
AABRX,AABRX,USA,NMFQS,USD,FUND,
AABTX,"AMERICAN FUNDS 2015 TARGET DATE RETIREMENT FUND CLASS A",USA,NMFQS,USD,FUND,US02630T7046
AABVF,"Aberdeen International Inc",USA,PINK,USD,"Common Stock",
AABVX,AABVX,USA,NMFQS,USD,FUND,
AABWX,AABWX,USA,NMFQS,USD,FUND,
AABYX,AABYX,USA,NMFQS,USD,FUND,
AABZX,AABZX,USA,NMFQS,USD,FUND,
AAC,"Ares Acquisition Corporation",USA,NYSE,USD,"Common Stock",KYG330321061
AACAF,"AAC Technologies Holdings Inc",USA,PINK,USD,"Common Stock",
AACAY,"AAC Technologies Holdings Inc",USA,PINK,USD,"Common Stock",US0003041052
AACCX,"STRATEGIC ALLOCATION: CONSERVATIVE FUND C CLASS",USA,NMFQS,USD,FUND,
AACDX,"STRATEGIC ALLOCATION: CONSERVATIVE FUND R6 CLASS",USA,NMFQS,USD,FUND,
AACFX,"INVESCO GREATER CHINA FUND CLASS A",USA,NMFQS,USD,FUND,
AACG,"ATA Creativity Global",USA,NASDAQ,USD,"Common Stock",US00211V1061
AACGX,"STRATEGIC ALLOCATION: CONSERVATIVE FUND R5 CLASS",USA,NMFQS,USD,FUND,
AACHX,AACHX,USA,NMFQS,USD,FUND,
AACI,"Armada Acquisition Corp. I Common Stock",USA,NASDAQ,USD,"Common Stock",US04208V1035
AACIU,"Armada Acquisition Corp. I Unit",USA,NASDAQ,USD,"Common Stock",US04208V2025
AACIW,"Armada Acquisition Corp. I Warrant",USA,NASDAQ,USD,"Common Stock",
AACIX,"AMERICAN BEACON MID-CAP VALUE FUND INSTITUTIONAL CLASS",USA,NMFQS,USD,FUND,US02368A3150
AACJX,AACJX,USA,NMFQS,USD,FUND,
AACKX,AACKX,USA,NMFQS,USD,FUND,
AACLX,AACLX,USA,NMFQS,USD,FUND,
AACMX,AACMX,USA,NMFQS,USD,FUND,
AACOX,"OPPORTUNISTIC FUND CLASS C",USA,NMFQS,USD,FUND,
AACPX,AACPX,USA,NMFQS,USD,FUND,
AACQX,AACQX,USA,NMFQS,USD,FUND,
AACRX,"STRATEGIC ALLOCATION: CONSERVATIVE FUND R CLASS",USA,NMFQS,USD,FUND,
AACS,"American Commerce Solutions Inc",USA,PINK,USD,"Common Stock",US0251991008
AACSX,AACSX,USA,NMFQS,USD,FUND,
AACTF,"Aurora Solar Technologies Inc",USA,PINK,USD,"Common Stock",CA05207J1084
AACTX,"AMERICAN FUNDS 2020 TARGET DATE RETIREMENT FUND CLASS A",USA,NMFQS,USD,FUND,US02630T8457
AACUX,AACUX,USA,NMFQS,USD,FUND,
AACVX,AACVX,USA,NMFQS,USD,FUND,
AACWX,AACWX,USA,NMFQS,USD,FUND,
AACZX,AACZX,USA,NMFQS,USD,FUND,
AADAX,"INVESCO GROWTH ALLOCATION FUND CLASS A",USA,NMFQS,USD,FUND,US00141M5498
AADBX,"AMERICAN BEACON BALANCED FUND INSTITUTIONAL CLASS",USA,NMFQS,USD,FUND,US02368A1097
AADCX,"INVESCO GROWTH ALLOCATION FUND CLASS C",USA,NMFQS,USD,FUND,US00141M5233
AADEX,"AMERICAN BEACON LARGE CAP VALUE FUND INSTITUTIONAL CLASS",USA,NMFQS,USD,FUND,US02368A2087
AADHX,AADHX,USA,NMFQS,USD,FUND,
AADI,"Aadi Bioscience Inc",USA,NASDAQ,USD,"Common Stock",US00032Q1040
AADIX,"INVESCO GROWTH ALLOCATION FUND CLASS R5",USA,NMFQS,USD,FUND,
AADJX,AADJX,USA,NMFQS,USD,FUND,
AADKX,AADKX,USA,NMFQS,USD,FUND,
AADLX,AADLX,USA,NMFQS,USD,FUND,
AADMX,AADMX,USA,NMFQS,USD,FUND,
AADNX,AADNX,USA,NMFQS,USD,FUND,
AADOX,AADOX,USA,NMFQS,USD,FUND,
AADPX,AADPX,USA,NMFQS,USD,FUND,
AADQX,AADQX,USA,NMFQS,USD,FUND,
AADR,"AdvisorShares Dorsey Wright ADR ETF",USA,NASDAQ,USD,ETF,US00768Y2063
AADRX,"INVESCO GROWTH ALLOCATION FUND CLASS R",USA,NMFQS,USD,FUND,
AADSX,"INVESCO GROWTH ALLOCATION FUND CLASS S",USA,NMFQS,USD,FUND,
AADTX,"AMERICAN FUNDS 2025 TARGET DATE RETIREMENT FUND CLASS A",USA,NMFQS,USD,FUND,US02630T7798
AADUX,AADUX,USA,NMFQS,USD,FUND,
AADVX,AADVX,USA,NMFQS,USD,FUND,

